customer_id,birth_year,education_level,marital_status,annual_income,num_children,num_teenagers,registration_date,days_since_last_purchase,spend_wines,spend_fruits,spend_meat,spend_fish,spend_sweets,spend_gold,deals_purchases,web_purchases,catalog_purchases,store_purchases,monthly_web_visits,has_complaint,target
64,1968,Doctorate,Married,36778.0,1,1,2012-05-08,63,29,4,34,2,4,4,3,3,0,3,9,0,0
65,1970,Bachelor,Married,72940.0,0,0,2013-06-19,13,182,74,298,162,149,116,1,3,3,6,1,0,0
66,1971,Doctorate,Partner,32892.0,1,0,2014-05-25,78,26,0,15,2,1,2,2,3,0,3,8,0,0
67,1969,Doctorate,Married,55212.0,0,1,2012-11-23,65,1103,0,45,0,0,34,3,4,2,11,8,0,0
68,1952,Master,Partner,70545.0,0,1,2014-03-06,29,138,39,63,55,18,21,1,4,1,7,2,0,0
69,1973,Bachelor,Married,24639.0,1,1,2014-01-28,3,20,3,16,0,4,1,3,2,0,4,6,0,0
70,1964,Doctorate,Married,65526.0,0,1,2014-11-04,22,397,19,69,12,0,9,1,4,4,8,2,0,0
71,1974,Doctorate,Married,37087.0,1,0,2013-11-08,50,194,55,134,15,0,3,3,4,2,8,6,0,0
72,1959,Doctorate,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0
73,1990,Doctorate,Married,74214.0,0,0,2012-08-26,3,863,83,547,86,99,33,1,8,2,5,5,0,0
74,1947,Doctorate,Partner,81574.0,0,0,2014-04-28,89,1252,0,465,46,35,0,1,4,5,8,1,0,0
75,1977,Bachelor,Single,23763.0,1,0,2012-07-08,64,22,0,6,6,2,6,1,1,0,3,7,0,0
76,1948,Bachelor,Married,77142.0,0,0,2013-05-29,54,476,75,162,29,151,97,1,4,4,8,2,0,0
77,1943,Doctorate,Divorced,48948.0,0,0,2013-01-02,53,437,8,206,160,49,42,2,7,10,5,6,0,1
78,1979,Bachelor,Partner,77298.0,0,1,2013-02-11,46,425,115,292,23,35,79,1,6,6,11,3,0,0
79,1955,Associate,Married,62972.0,0,1,2012-03-08,39,313,15,47,20,0,192,2,7,4,3,6,0,1
80,1987,Doctorate,Single,95169.0,0,0,2013-09-10,1,1285,21,449,106,20,20,1,4,3,4,1,0,1
81,1955,Doctorate,Married,59821.0,0,1,2013-12-04,11,629,0,70,0,0,35,6,11,2,7,8,0,0
82,1973,Doctorate,Partner,39435.0,1,0,2013-06-08,16,71,0,18,0,0,13,1,3,1,2,7,0,0
83,1975,Bachelor,Divorced,153924.0,0,0,2014-07-02,81,1,1,1,1,1,1,0,0,0,0,0,0,0
84,1974,Bachelor,Divorced,102692.0,0,0,2013-05-04,5,168,148,444,32,172,148,1,6,9,13,2,0,1
85,1974,Bachelor,Married,34421.0,1,0,2013-01-07,81,3,3,7,6,2,9,1,1,0,2,7,0,0
86,1963,Doctorate,Married,4023.0,1,1,2014-06-23,29,5,0,1,1,1,1,15,0,0,0,19,0,0
87,1988,Associate,Married,15716.0,1,0,2012-12-11,8,16,5,30,8,7,26,3,3,0,4,8,1,0
88,1964,Bachelor,Married,48920.0,0,2,2013-10-20,93,238,17,68,8,10,6,3,6,2,5,7,0,0
89,1958,Bachelor,Divorced,78331.0,0,1,2014-01-23,97,756,138,354,160,169,61,2,10,6,7,4,0,0
90,1950,Doctorate,Partner,59292.0,0,1,2013-06-13,71,378,14,68,19,14,14,2,3,5,8,3,0,0
91,1982,Doctorate,Married,84169.0,0,0,2013-07-08,9,1478,19,403,0,19,0,1,7,6,6,3,0,1
92,1959,Bachelor,Partner,38285.0,2,1,2014-06-24,96,2,0,5,2,0,1,1,0,0,3,2,0,0
93,1982,Master,Married,21059.0,1,0,2014-07-01,40,8,3,19,3,3,8,3,3,0,3,6,0,0
94,1965,Doctorate,Partner,34230.0,1,1,2012-12-26,72,15,0,4,0,0,2,1,1,0,2,7,0,0
95,1956,Bachelor,Single,46998.0,0,1,2012-10-22,55,172,41,86,45,6,27,5,5,3,5,7,0,0
96,1961,Bachelor,Single,82332.0,0,0,2012-09-17,89,830,59,968,51,79,19,1,5,3,12,2,0,1
97,1943,Doctorate,Married,75865.0,0,0,2014-03-31,73,483,0,591,156,0,12,1,3,5,10,1,0,0
98,1964,Bachelor,Married,75236.0,0,1,2013-11-25,27,438,66,400,12,38,114,1,8,3,13,4,0,0
99,1976,Bachelor,Married,7500.0,1,0,2012-01-08,19,7,0,12,13,7,32,5,4,1,2,9,0,1
100,1958,Bachelor,Married,61074.0,0,1,2012-08-17,37,789,0,133,0,28,152,7,11,5,8,7,0,0
101,1980,Doctorate,Single,36802.0,1,0,2014-06-16,23,16,1,2,0,0,1,1,1,0,3,5,0,0
102,1975,Doctorate,Divorced,74165.0,0,0,2013-01-05,9,1001,12,240,16,12,12,1,5,4,10,2,0,0
103,1954,Bachelor,Divorced,76773.0,0,0,2013-02-25,79,516,56,449,86,33,16,1,2,2,11,1,0,0
104,1984,Bachelor,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,1
105,1971,Bachelor,Single,10245.0,1,0,2013-05-15,32,4,7,7,6,4,13,3,1,2,2,5,0,0
106,1967,Bachelor,Partner,32474.0,1,1,2014-11-05,0,10,0,1,0,0,0,1,1,0,2,7,0,0
107,1976,High School,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0
108,1953,Master,Married,65569.0,0,1,2012-05-11,96,397,46,288,20,38,70,2,6,5,10,3,0,0
109,1956,Bachelor,Married,48195.0,1,1,2014-01-21,53,106,27,68,52,7,5,6,4,2,5,6,0,0
110,1981,Associate,Married,35523.0,1,0,2013-03-10,8,11,5,22,12,5,11,2,3,0,3,7,0,0
111,1959,Bachelor,Partner,71367.0,0,0,2013-08-23,24,227,23,389,42,21,75,1,4,5,7,2,0,0
112,1959,Doctorate,Married,36732.0,1,1,2013-12-29,71,21,5,3,10,1,7,3,1,1,4,2,0,0
113,1958,Doctorate,Divorced,32173.0,0,1,2013-01-08,0,18,0,2,0,0,2,1,1,0,3,4,0,0
114,1990,Bachelor,Married,30093.0,0,0,2013-08-07,19,2,6,28,13,4,16,1,2,0,3,7,0,0
115,1965,Master,Single,69882.0,0,0,2013-10-11,94,292,127,635,132,127,165,1,3,7,9,1,0,0
116,1980,Bachelor,Married,15072.0,2,0,2013-10-05,96,8,2,15,0,10,18,4,3,1,3,5,0,0
117,1982,Associate,Partner,58582.0,0,1,2013-09-28,15,402,35,106,101,77,42,2,9,2,9,5,0,0
118,1959,Bachelor,Divorced,23295.0,0,0,2013-07-13,72,0,0,1,2,12,5,1,1,0,2,8,0,0
119,1976,Bachelor,Married,56939.0,0,1,2013-09-18,19,256,34,103,90,29,49,2,3,3,10,3,0,0
120,1970,Associate,Married,62466.0,0,1,2014-01-15,13,129,129,259,168,121,83,5,6,3,12,4,0,0
121,1968,Master,Married,29543.0,2,0,2014-01-04,47,17,3,18,3,4,18,2,3,1,2,7,0,0
122,1959,Master,Widowed,33051.0,0,0,2012-08-16,15,100,71,243,108,94,219,3,9,1,8,9,0,1
123,1987,Bachelor,Married,25545.0,1,0,2012-08-09,35,32,1,64,16,12,85,3,2,2,3,6,0,1
124,1961,Bachelor,Married,16860.0,1,1,2012-12-09,19,10,4,4,3,3,14,3,1,1,3,7,0,0
125,1943,Doctorate,Widowed,57513.0,0,0,2013-06-07,59,735,40,183,52,20,30,2,9,3,13,6,0,0
126,1971,Bachelor,Divorced,25818.0,1,0,2012-10-18,51,5,2,8,2,2,9,1,0,1,2,7,0,0
127,1969,Bachelor,Married,48752.0,1,1,2012-12-12,8,73,57,100,71,15,0,5,6,1,5,9,0,1
128,1961,Bachelor,Married,60544.0,1,1,2012-08-25,92,201,2,43,3,5,35,4,5,1,5,6,0,0
129,1973,Bachelor,Divorced,78901.0,0,1,2013-09-17,99,321,11,309,33,26,34,3,9,3,5,4,0,0
130,1986,Master,Partner,42386.0,1,0,2013-01-13,43,65,4,16,0,4,11,1,3,0,3,8,0,0
131,1965,Bachelor,Married,81168.0,0,0,2014-07-05,84,410,0,592,147,22,22,1,6,4,7,3,0,0
132,1965,Bachelor,Married,72190.0,0,0,2013-02-13,79,597,166,597,172,166,249,1,5,6,4,3,0,0
133,1965,Doctorate,Divorced,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0
134,1977,Doctorate,Single,42997.0,1,1,2013-07-12,91,4,0,5,0,1,5,1,1,0,2,7,0,0
135,1970,Doctorate,Partner,77622.0,0,2,2014-04-14,3,520,7,154,19,0,14,2,6,3,11,3,0,0
136,1960,Bachelor,Partner,63381.0,0,1,2012-05-10,78,571,50,142,33,50,159,4,4,5,13,2,0,0
137,1948,Doctorate,Widowed,82032.0,0,0,2014-05-04,54,332,194,377,149,125,57,0,4,6,7,1,0,0
138,1990,Bachelor,Married,18929.0,0,0,2013-02-16,15,32,0,8,23,4,18,1,1,0,4,6,0,0
139,1982,Bachelor,Partner,45203.0,2,0,2014-03-23,4,35,3,67,10,8,24,1,3,1,3,6,0,1
140,1964,Bachelor,Divorced,41638.0,0,1,2013-02-13,68,315,0,31,4,0,91,4,5,5,3,8,0,0
141,1950,Doctorate,Single,48767.0,1,2,2014-01-01,79,28,1,21,3,0,10,3,2,1,3,5,0,0
142,1983,Bachelor,Divorced,82025.0,0,0,2013-05-28,76,267,98,606,48,70,98,1,3,2,6,1,0,1
143,1983,Bachelor,Partner,22010.0,1,0,2013-06-30,51,11,2,9,3,0,8,2,2,0,3,8,0,0
144,1967,Bachelor,Partner,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0
145,1971,Bachelor,Divorced,1730.0,0,0,2014-05-18,65,1,1,3,1,1,1,15,0,0,0,20,0,0
146,1950,Doctorate,Married,41145.0,1,1,2014-08-02,20,9,0,3,0,0,1,1,0,0,3,3,0,0
147,1954,Master,Divorced,62637.0,0,1,2014-01-03,76,104,12,48,4,12,5,1,2,2,5,2,0,0
148,1963,Doctorate,Married,81300.0,0,1,2012-10-30,17,1004,12,145,32,12,36,3,10,3,5,5,0,1
149,1985,Bachelor,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0
150,1961,Doctorate,Divorced,64325.0,0,1,2013-07-02,41,731,60,353,78,12,73,5,10,3,5,7,0,0
151,1976,Bachelor,Married,53858.0,0,1,2012-09-11,50,407,53,221,58,150,26,4,4,3,6,4,0,0
152,1968,Bachelor,Widowed,73455.0,0,0,2013-10-28,98,901,61,757,186,163,20,1,6,5,10,3,0,0
153,1951,Bachelor,Partner,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0
154,1972,Doctorate,Married,43269.0,1,0,2013-09-16,61,10,1,7,0,0,1,1,1,0,2,8,0,0
155,1946,Doctorate,Single,62159.0,0,0,2014-04-28,68,182,17,259,77,70,29,1,6,2,10,4,0,0
156,1961,Doctorate,Married,,0,1,2013-11-07,23,352,0,27,10,0,15,3,6,1,7,6,0,0
157,1975,Bachelor,Married,33183.0,1,0,2014-02-24,46,7,5,39,17,15,37,2,4,0,3,7,0,0
158,1976,Doctorate,Married,49544.0,1,0,2013-12-02,0,308,0,73,0,0,23,2,5,1,8,7,0,0
159,1955,Doctorate,Single,61284.0,0,0,2013-12-10,76,618,15,106,20,7,45,1,11,2,8,6,0,0
160,1981,Bachelor,Divorced,56981.0,0,0,2014-01-25,91,908,48,217,32,12,24,1,2,3,13,6,0,0
161,1963,Bachelor,Partner,56253.0,0,1,2012-07-12,83,509,0,65,7,11,5,4,7,2,9,6,0,0
162,1984,Master,Single,31385.0,1,0,2012-05-12,56,3,2,12,0,1,9,1,1,0,2,8,0,1
163,1987,High School,Single,21063.0,1,0,2013-09-25,34,1,10,11,19,3,15,2,2,0,3,6,0,0
164,1980,Bachelor,Married,82497.0,0,0,2012-10-31,32,777,129,573,216,21,203,1,2,7,9,4,0,0
165,1968,Bachelor,Partner,34916.0,2,0,2013-05-15,89,51,23,82,33,0,42,4,5,1,3,9,0,0
166,1991,Bachelor,Partner,89891.0,0,0,2013-04-15,17,412,22,132,59,28,183,1,11,6,8,4,0,0
167,1957,Bachelor,Partner,47320.0,0,1,2013-01-08,10,200,19,111,50,15,19,6,5,1,8,6,0,0
168,1976,Master,Single,70893.0,0,0,2013-06-02,42,768,44,561,77,44,14,1,6,6,10,3,0,0
169,1959,Doctorate,Divorced,68805.0,0,1,2013-09-17,73,182,2,49,17,13,20,1,3,1,7,2,0,0
170,1970,Associate,Married,62466.0,0,1,2014-01-15,13,129,129,259,168,121,83,5,6,3,12,4,0,0
171,1972,Master,Partner,49854.0,1,0,2013-10-11,63,123,17,171,39,0,30,5,6,2,5,6,0,0
172,1944,Doctorate,Single,82716.0,0,0,2013-05-11,8,606,148,228,15,148,22,1,6,8,13,2,0,0
173,1958,Master,Married,51412.0,0,1,2013-12-31,42,140,3,29,4,5,14,2,3,2,4,4,0,0
174,1948,Doctorate,Married,34469.0,1,1,2014-04-05,58,19,6,20,0,5,12,3,1,1,4,4,0,0
175,1963,Bachelor,Single,49980.0,0,1,2013-10-23,79,104,1,54,13,9,14,2,3,1,5,5,0,0
176,1966,Bachelor,Partner,37758.0,1,1,2012-04-10,49,27,2,10,0,0,1,2,1,0,3,8,0,0
177,1953,Doctorate,Divorced,36957.0,1,1,2012-06-09,43,100,2,16,2,1,31,4,3,2,2,9,0,1
178,1964,Bachelor,Single,18701.0,1,1,2013-04-06,95,12,4,2,10,6,10,4,2,0,4,5,0,0
179,1976,Master,Single,70379.0,0,1,2013-03-03,84,553,25,142,65,67,8,3,6,3,13,4,0,0
180,1983,Doctorate,Married,86580.0,0,0,2013-02-27,72,532,21,127,26,20,20,0,4,2,5,1,0,0
181,1961,Master,Partner,74881.0,1,1,2013-08-03,48,505,72,270,36,27,54,4,9,2,12,5,0,0
182,1984,Bachelor,Married,23228.0,1,0,2014-05-01,91,53,3,49,7,4,5,4,3,0,4,8,0,0
183,1955,Bachelor,Single,62535.0,0,1,2013-03-10,13,163,48,90,0,45,52,1,3,2,8,3,0,0
184,1954,Master,Married,45736.0,0,1,2013-07-24,92,188,3,180,20,3,43,5,7,1,6,7,0,0
185,1964,Doctorate,Married,65526.0,0,1,2014-11-04,22,397,19,69,12,0,9,1,4,4,8,2,0,0
186,1981,Bachelor,Married,19419.0,1,0,2012-10-11,76,2,14,28,16,3,7,4,4,0,3,9,0,0
187,1989,Bachelor,Single,18358.0,1,0,2013-11-20,49,6,8,19,16,4,4,3,3,0,4,7,0,0
188,1958,Bachelor,Single,49967.0,0,1,2013-08-07,4,212,6,69,4,12,3,3,6,1,5,7,0,0
189,1969,Master,Married,43142.0,1,1,2014-02-18,84,5,1,7,2,1,4,1,1,0,2,7,0,0
190,1975,Bachelor,Married,76068.0,0,1,2012-11-29,67,1115,12,128,33,12,76,1,2,3,4,6,0,0
191,1974,Associate,Married,20130.0,0,0,2014-03-17,99,0,6,3,7,6,12,1,1,0,3,8,0,0
192,1982,Bachelor,Single,28567.0,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0
193,1963,Doctorate,Divorced,41003.0,0,0,2013-03-17,11,123,133,142,71,44,88,1,6,2,8,6,0,0
194,1965,Bachelor,Partner,36317.0,0,1,2013-05-22,53,87,3,25,3,2,13,2,3,0,4,7,0,0
195,1971,Bachelor,Partner,38590.0,1,0,2013-05-15,65,3,1,8,4,3,3,1,1,0,2,8,0,0
196,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0
197,1959,Bachelor,Married,18690.0,0,0,2012-12-28,77,6,1,7,23,4,19,1,1,1,2,8,0,0
198,1954,Bachelor,Partner,39898.0,0,1,2013-12-02,20,69,8,26,12,7,12,2,3,0,4,7,0,0
199,1953,Bachelor,Partner,94384.0,0,0,2013-04-03,62,1111,24,790,160,45,172,0,5,8,5,2,0,1
200,1955,Master,Partner,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,1
201,1981,Doctorate,Single,36038.0,1,0,2013-05-31,82,23,0,15,0,2,7,2,3,0,3,6,0,0
202,1989,Doctorate,Partner,66973.0,0,0,2013-05-17,98,466,22,432,147,113,102,1,8,7,12,3,0,0
203,1959,Master,Married,34242.0,0,1,2014-03-23,25,8,2,4,0,0,1,1,0,0,3,5,0,0
204,1970,Bachelor,Divorced,58710.0,0,1,2013-03-31,77,440,81,368,0,122,174,6,11,5,9,6,0,0
205,1975,Bachelor,Married,27573.0,1,0,2013-03-25,45,50,15,110,39,15,15,4,5,1,4,8,0,0
206,1983,Doctorate,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0
207,1953,Doctorate,Partner,53593.0,1,1,2012-07-08,60,349,4,78,6,0,43,8,7,2,6,8,0,0
208,1987,Associate,Married,30390.0,0,0,2013-02-09,5,10,12,12,25,1,20,1,2,0,3,6,0,0
209,1965,Bachelor,Married,69139.0,0,1,2014-01-27,23,86,12,75,33,15,6,1,4,1,5,4,0,0
210,1945,Bachelor,Widowed,63285.0,0,0,2013-05-11,84,508,124,249,50,38,134,1,6,5,13,3,0,0
211,1958,Master,Married,49572.0,1,1,2013-12-15,25,35,1,16,0,1,1,2,2,0,3,7,0,0
212,1970,Associate,Married,23162.0,1,1,2013-12-21,82,8,3,9,19,4,22,3,1,1,3,6,0,0
213,1951,Master,Married,27450.0,0,0,2013-04-15,57,37,12,23,8,11,52,1,2,1,3,7,0,0
214,1973,Bachelor,Married,52845.0,1,0,2013-08-13,7,384,25,292,130,41,64,3,8,8,6,6,0,0
215,1972,Master,Single,49494.0,1,0,2013-04-25,46,191,9,97,0,6,82,2,6,1,5,7,0,0
216,1987,Bachelor,Single,46923.0,1,0,2012-08-22,90,85,44,54,102,78,6,3,5,1,7,7,0,0
217,1952,Bachelor,Widowed,40049.0,0,1,2013-10-16,23,13,6,7,0,3,3,1,1,0,3,6,0,0
218,1966,Master,Married,57183.0,1,1,2013-03-19,51,464,5,64,7,0,70,8,9,1,7,8,0,0
219,1966,Bachelor,Single,86358.0,1,1,2012-08-08,78,957,47,494,82,47,95,4,5,3,6,8,0,0
220,1975,Bachelor,Married,46149.0,0,1,2013-11-29,36,254,6,71,4,0,27,5,5,1,7,5,0,0
221,1976,Master,Partner,37509.0,1,0,2012-12-09,24,37,5,56,12,8,5,2,3,0,4,7,0,0
222,1959,Bachelor,Married,54984.0,0,1,2014-05-24,51,173,13,131,32,3,6,4,6,1,6,7,0,0
223,1969,Doctorate,Married,30396.0,1,0,2014-04-30,22,15,0,6,0,1,12,2,1,1,2,7,0,1
224,1955,Doctorate,Married,58482.0,0,1,2014-12-03,59,576,7,115,19,7,7,2,7,4,9,6,0,0
225,1988,Associate,Married,16248.0,1,0,2014-10-05,77,12,11,10,3,12,9,3,2,1,3,6,0,0
226,1976,Doctorate,Single,42473.0,1,1,2014-02-17,72,93,1,21,0,4,25,3,2,1,4,5,0,0
227,1954,Bachelor,Divorced,79865.0,0,1,2014-06-18,12,71,99,278,185,121,38,1,5,10,5,1,0,0
228,1975,Associate,Single,49514.0,1,0,2013-12-17,61,88,39,78,58,13,93,2,6,1,4,7,0,0
229,1983,Bachelor,Single,39062.0,1,0,2014-03-25,28,23,0,9,0,0,12,1,1,0,3,4,0,0
230,1972,Bachelor,Married,65685.0,0,1,2014-03-29,54,642,14,49,0,7,57,1,9,2,9,5,0,0
231,1965,Master,Partner,65735.0,1,1,2013-07-12,37,239,7,119,4,15,11,5,6,2,6,7,0,0
232,1985,Master,Married,20559.0,1,0,2013-12-03,88,13,1,29,3,0,7,2,2,0,3,8,0,0
233,1969,Master,Partner,65176.0,0,1,2012-10-29,57,960,28,183,220,70,70,4,9,6,6,6,0,0
234,1952,Bachelor,Partner,83844.0,0,0,2013-12-05,57,901,31,345,75,31,191,1,4,4,11,1,0,0
235,1949,Master,Married,62845.0,1,1,2012-01-10,3,1099,0,45,0,0,34,11,3,4,10,8,0,0
236,1975,Bachelor,Married,40794.0,0,1,2013-07-04,18,261,23,73,4,23,50,2,6,3,5,7,0,0
